data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-04T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,452,47,499,9744,10243,224,526,32458,1488,44189,722445,373231,0,636762,85683
2021-02-04T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,71,1,72,3364,3436,15,68,9668,331,13435,217404,131249,13435,0,213191
2021-02-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,256,25,281,8262,8543,-87,202,24476,609,33628,529075,500314,6,524302,4773
2021-02-04T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1468,100,1568,60781,62349,232,1544,160976,3856,227181,2489654,1643920,1728,2455143,34511
2021-02-04T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2046,188,2234,41575,43809,-593,1192,169281,9714,222804,3192086,1375061,222741,63,3040307
2021-02-04T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,550,64,614,10647,11261,81,355,55217,2490,68968,1172232,424647,2898,1130476,41756
2021-02-04T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2308,273,2581,55445,58026,-1743,1174,146154,5165,209345,3440379,2444101,1236,3123988,316391
2021-02-04T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,627,64,691,3712,4403,-36,489,62966,3408,70777,884099,383859,0,834270,49829
2021-02-04T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3539,362,3901,42995,46896,-449,1746,469348,27299,543543,5776961,2865764,1920,5611029,165932
2021-02-04T17:00:00,ITA,11,Marche,43.61675973,13.5188753,529,76,605,7507,8112,-241,480,46774,2011,56897,707989,426581,0,677625,30364
2021-02-04T17:00:00,ITA,14,Molise,41.55774754,14.65916051,62,11,73,1155,1228,46,80,7087,282,8597,140848,127479,0,140576,272
2021-02-04T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,249,35,284,5607,5891,141,747,35744,887,42522,526211,183686,5469,435570,90641
2021-02-04T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,144,32,176,2266,2442,-53,240,24653,1158,28253,539446,162761,2612,517187,22259
2021-02-04T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2065,143,2208,9822,12030,-22,807,205021,8951,226002,2139869,1117995,2352,1909018,230851
2021-02-04T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1420,158,1578,49852,51430,-285,975,71423,3331,126184,1346440,775587,410,1321259,25181
2021-02-04T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,398,28,426,14325,14751,-87,205,23323,1005,39079,593009,486426,2,580702,12307
2021-02-04T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1286,187,1473,39181,40654,-468,789,95271,3603,139528,1885970,1008097,0,1543979,341991
2021-02-04T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,642,112,754,8936,9690,345,760,122580,4269,136539,2293582,1221727,141,2185761,107821
2021-02-04T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,372,66,438,5753,6191,192,373,30304,813,37308,654241,288222,37308,0,608663
2021-02-04T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,27,3,30,158,188,-1,11,7232,406,7826,71235,41815,0,69949,1286
2021-02-04T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1232,176,1408,27296,28704,-1656,896,276972,9165,314841,4279848,1332977,1604,3791047,488801
