data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati
2021-01-21T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,442,43,485,10175,10660,-327,212,28007,1358,40025,605038,309374
2021-01-21T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,80,6,86,6855,6941,-8,59,5437,306,12684,203479,126040
2021-01-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,297,26,323,9645,9968,-137,258,19571,552,30091,491645,467196
2021-01-21T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1440,100,1540,69638,71178,312,1215,136008,3511,210697,2285816,1525098
2021-01-21T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2456,218,2674,49363,52037,-542,1320,145533,9008,206578,2886578,1314707
2021-01-21T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,680,59,739,11441,12180,-151,657,48339,2183,62702,1069891,388963
2021-01-21T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2653,280,2933,69752,72685,-504,1303,116943,4571,194199,3069436,2220150
2021-01-21T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,635,62,697,3906,4603,-155,243,59003,3183,66789,798715,353662
2021-01-21T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3644,411,4055,49000,53055,-643,2234,440880,26460,520395,5348951,2757927
2021-01-21T17:00:00,ITA,11,Marche,43.61675973,13.5188753,555,83,638,7436,8074,-541,500,41629,1841,51544,644321,383793
2021-01-21T17:00:00,ITA,14,Molise,41.55774754,14.65916051,56,8,64,981,1045,-90,34,6404,243,7692,129540,117712
2021-01-21T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,226,28,254,12569,12823,291,566,21473,831,35127,429833,173213
2021-01-21T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,236,43,279,1727,2006,-80,164,22616,1092,25714,498378,158775
2021-01-21T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2419,159,2578,11015,13593,-312,761,193160,8525,215278,1886295,1051394
2021-01-21T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1346,151,1497,53287,54784,-317,1275,55388,2943,113115,1220229,725978
2021-01-21T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,466,51,517,16599,17116,-160,238,18430,927,36473,543913,452782
2021-01-21T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1436,221,1657,45241,46898,191,1230,76337,3129,126364,1540168,929118
2021-01-21T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,659,116,775,7528,8303,21,503,117029,4052,129384,2093934,1133867
2021-01-21T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,286,46,332,4389,4721,116,286,27741,723,33185,565609,271405
2021-01-21T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,42,2,44,297,341,-37,17,6955,400,7696,67714,40709
2021-01-21T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1991,305,2296,51261,53557,-3912,1003,240568,8364,302489,3787282,1295531
