data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_antigenico_rapido
2021-01-24T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,430,44,474,10180,10654,243,325,28842,1393,40889,636872,327969,41094
2021-01-24T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,81,4,85,6815,6900,-26,48,5631,311,12842,206206,127137,1480
2021-01-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,279,21,300,10105,10405,65,211,20101,566,31072,499701,474508,1343
2021-01-24T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1448,112,1560,61425,62985,532,1069,147439,3598,214022,2331532,1552374,12675
2021-01-24T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2383,219,2602,48755,51357,625,1208,149966,9119,210442,2954788,1327963,61989
2021-01-24T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,685,61,746,11010,11756,-142,505,50339,2243,64338,1093381,400117,20853
2021-01-24T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2544,286,2830,66555,69385,-881,1056,123626,4682,197693,3151772,2265463,150264
2021-01-24T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,603,64,667,3945,4612,42,293,59846,3235,67693,816993,360670,22386
2021-01-24T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3428,405,3833,49171,53004,536,1375,445604,26666,525274,5437998,2780425,72550
2021-01-24T17:00:00,ITA,11,Marche,43.61675973,13.5188753,546,74,620,8205,8825,414,525,42204,1874,52903,671124,395675,16185
2021-01-24T17:00:00,ITA,14,Molise,41.55774754,14.65916051,50,9,59,1023,1082,34,102,6568,249,7899,132219,119999,193
2021-01-24T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,226,25,251,13248,13499,113,412,22261,841,36601,450531,175268,41714
2021-01-24T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,207,43,250,1858,2108,61,131,22978,1131,26217,508616,159760,498470
2021-01-24T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2345,156,2501,10845,13346,-109,619,195748,8583,217677,1943147,1064696,108494
2021-01-24T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1391,164,1555,53515,55070,455,954,58040,3000,116110,1249072,734710,11772
2021-01-24T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,464,45,509,16589,17098,75,175,19004,949,37051,552759,460190,3945
2021-01-24T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1431,227,1658,45996,47654,27,875,78872,3226,129752,1604479,945261,165289
2021-01-24T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,636,106,742,7675,8417,156,526,118347,4095,130859,2136472,1151428,49015
2021-01-24T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,291,47,338,4774,5112,83,247,28217,740,34069,585272,274887,34069
2021-01-24T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,45,2,47,256,303,-24,17,7033,401,7737,68359,40912,452
2021-01-24T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1796,286,2082,43624,45706,-1835,956,251408,8559,305673,3902742,1303992,234244
