data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-01-28T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,399,40,439,9627,10066,-10,268,30206,1446,41718,663071,341654,608791,54280
2021-01-28T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,74,2,76,6851,6927,-23,42,5840,320,13087,208991,128348,207421,1570
2021-01-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,273,21,294,8784,9078,-295,302,22416,582,32076,509764,482810,507965,1799
2021-01-28T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1474,98,1572,62017,63589,594,1313,150950,3704,218243,2383402,1582293,2364324,19078
2021-01-28T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2242,209,2451,45088,47539,-567,1265,157852,9363,214754,3042797,1345403,214705,49
2021-01-28T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,619,59,678,10682,11360,-32,642,52460,2346,66166,1124994,409877,1095097,29897
2021-01-28T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2458,289,2747,61895,64642,-261,1263,132695,4870,202207,3261068,2328322,3045753,215315
2021-01-28T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,588,67,655,3591,4246,1,372,61222,3300,68768,841787,370398,809075,32712
2021-01-28T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3537,371,3908,45931,49839,801,2603,456106,26939,532884,5567301,2811665,5457271,110030
2021-01-28T17:00:00,ITA,11,Marche,43.61675973,13.5188753,551,70,621,8406,9027,41,429,43336,1926,54289,674037,406210,652636,21401
2021-01-28T17:00:00,ITA,14,Molise,41.55774754,14.65916051,48,9,57,979,1036,14,83,6800,263,8099,135181,122522,134983,198
2021-01-28T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,216,30,246,14294,14540,296,562,23071,859,38470,477254,177465,416924,60330
2021-01-28T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,191,34,225,1938,2163,95,207,23549,1143,26855,519585,160847,505405,14180
2021-01-28T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2194,151,2345,10139,12484,83,1062,199668,8736,220888,2017653,1085343,1864214,153439
2021-01-28T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1394,173,1567,50781,52348,-1095,1159,64424,3126,119898,1286025,749986,1269934,16091
2021-01-28T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,465,43,508,15845,16353,-195,237,20562,969,37884,569235,470492,561645,7590
2021-01-28T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1405,215,1620,44556,46176,-854,994,84050,3371,133597,1700897,969503,1479596,221301
2021-01-28T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,672,100,772,7902,8674,269,620,119929,4146,132749,2190275,1173906,2121159,69116
2021-01-28T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,338,54,392,4911,5303,174,369,29131,760,35194,609165,279578,35194,0
2021-01-28T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,41,4,45,218,263,-7,8,7106,403,7772,69450,41273,68734,716
2021-01-28T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1599,249,1848,37116,38964,-2381,572,262136,8809,309909,4034670,1315090,3716309,318361
