data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_antigenico_rapido
2021-01-29T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,389,40,429,9639,10068,2,343,30538,1453,42059,668154,343754,55785
2021-01-29T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,71,4,75,6061,6136,-791,45,6673,323,13132,210043,128896,208443
2021-01-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,274,20,294,8735,9029,-49,253,22715,585,32329,512266,484853,1902
2021-01-29T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1425,95,1520,60122,61642,-1947,1175,154051,3725,219418,2397782,1588421,21099
2021-01-29T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2172,209,2381,44964,47345,-194,1320,159293,9427,216065,3066158,1349723,216016
2021-01-29T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,605,59,664,10707,11371,11,557,52988,2364,66723,1134427,412664,32513
2021-01-29T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2438,289,2727,61510,64237,-405,1160,134212,4918,203367,3288432,2345323,230108
2021-01-29T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,591,64,655,3650,4305,59,338,61476,3325,69106,849066,373287,35673
2021-01-29T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3490,379,3869,45645,49514,-325,1900,458254,27016,534784,5601457,2820413,119507
2021-01-29T17:00:00,ITA,11,Marche,43.61675973,13.5188753,540,73,613,8394,9007,-20,371,43714,1939,54660,678817,409342,23075
2021-01-29T17:00:00,ITA,14,Molise,41.55774754,14.65916051,53,8,61,1010,1071,35,79,6842,265,8178,136002,123261,198
2021-01-29T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,219,30,249,14613,14862,322,590,23336,862,39060,484791,178089,65341
2021-01-29T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,187,34,221,2150,2371,208,307,23647,1144,27162,523153,161081,15423
2021-01-29T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2163,150,2313,10224,12537,53,944,200521,8774,221832,2040494,1090338,168290
2021-01-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1401,168,1569,50709,52278,-70,1069,65539,3150,120967,1294800,754947,17439
2021-01-29T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,453,40,493,15594,16087,-266,257,21078,976,38141,574708,473288,9722
2021-01-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1373,211,1584,42683,44267,-1909,944,86866,3408,134541,1726358,975217,237239
2021-01-29T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,659,100,759,8243,9002,328,594,120169,4172,133343,2207275,1181251,76088
2021-01-29T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,349,53,402,5075,5477,174,335,29285,767,35529,616083,280987,0
2021-01-29T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,36,4,40,213,253,-10,8,7124,403,7780,69596,41328,738
2021-01-29T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1509,240,1749,35216,36965,-1999,985,265067,8862,310894,4075490,1317694,347225
