data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
2021-01-02T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,443,37,480,10771,11251,-122,23,23266,1229,,,35746,520091,271089
2021-01-02T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,93,3,96,6046,6142,1,39,4618,261,,,11021,185449,118458
2021-01-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,234,19,253,8563,8816,-47,175,15142,482,,,24440,443632,424698
2021-01-02T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1355,99,1454,76561,78015,-313,392,110891,2893,,,191799,2059031,1377433
2021-01-02T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2649,229,2878,55628,58506,1719,2035,109818,7846,,,176170,2588793,1234681
2021-01-02T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,652,63,715,11132,11847,94,359,37567,1687,,,51101,942810,343713
2021-01-02T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2792,315,3107,73341,76448,87,1275,85975,3816,,,166239,2730769,2056450
2021-01-02T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,674,66,740,4962,5702,105,203,52475,2907,,,61084,715806,324658
2021-01-02T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3293,491,3784,52226,56010,698,1402,402070,25281,,,483361,4896792,2621183
2021-01-02T17:00:00,ITA,11,Marche,43.61675973,13.5188753,479,65,544,11243,11787,48,285,29221,1594,,,42602,539624,319908
2021-01-02T17:00:00,ITA,14,Molise,41.55774754,14.65916051,51,9,60,1679,1739,16,21,4722,194,,,6655,116807,106912
2021-01-02T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,176,24,200,10638,10838,45,86,18266,746,,,29850,364372,163511
2021-01-02T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,369,41,410,1572,1982,83,116,19209,958,,,22149,453960,151962
2021-01-02T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2777,182,2959,21238,24197,-2332,433,167151,7971,,,199319,1690587,988567
2021-01-02T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1503,139,1642,52170,53812,-101,344,36400,2491,,,92703,1053380,657470
2021-01-02T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,479,41,520,16152,16672,-7,189,14240,755,,,31667,487320,409015
2021-01-02T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1090,186,1276,33674,34950,603,734,58082,2468,,,95500,1231722,820100
2021-01-02T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,825,139,964,9057,10021,185,498,107674,3720,,,121415,1898439,1066811
2021-01-02T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,270,47,317,3476,3793,-11,50,24817,628,,,29238,506539,253466
2021-01-02T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,76,2,78,335,413,5,7,6501,383,,,7297,63032,37893
2021-01-02T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,2668,372,3040,91081,94121,1539,3165,161049,6675,,,261845,3334350,1224449
