data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-08-29T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,80,7,87,2246,2333,137,140,74119,2527,78979,2019331,793088,0,78979,0,1324386,694945
2021-08-29T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,47,0,47,1326,1373,15,72,26869,597,28839,436160,228142,0,28839,0,415085,21075
2021-08-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,153,16,169,4782,4951,194,240,71064,1309,77324,1076812,975186,2,77310,14,972428,104384
2021-08-29T17:00:00,ITA,15,Campania,40.83956555,14.25084984,358,19,377,9247,9624,-11,431,427776,7720,445120,6080057,3428819,0,433532,11588,4986437,1093620
2021-08-29T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,411,48,459,15558,16017,270,605,381523,13353,410893,7943179,2017768,6,410540,353,5506559,2436620
2021-08-29T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,46,11,57,1111,1168,5,80,105694,3799,110661,2472781,754244,1,95692,14969,1999416,473365
2021-08-29T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,441,72,513,15409,15922,-197,349,349619,8508,374049,8449810,4571716,4,365042,9007,5235427,3214383
2021-08-29T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,76,10,86,1998,2084,5,167,103167,4382,109633,2101879,800240,0,109633,0,1540754,561125
2021-08-29T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,332,45,377,11770,12147,199,447,822770,33914,868831,13486574,5131575,4,807629,61202,10235193,3251381
2021-08-29T17:00:00,ITA,11,Marche,43.61675973,13.5188753,66,16,82,3526,3608,84,147,103715,3046,110369,1444852,840323,0,110369,0,1274574,170278
2021-08-29T17:00:00,ITA,14,Molise,41.55774754,14.65916051,8,0,8,241,249,18,20,13501,495,14245,261837,228307,0,14245,0,248807,13030
2021-08-29T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,18,5,23,702,725,-16,32,73063,1184,74972,1872488,456512,0,61740,13232,628663,1243825
2021-08-29T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,25,0,25,477,502,37,45,45584,1365,47451,994012,283104,0,33317,14134,705779,288233
2021-08-29T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,145,14,159,3628,3787,86,175,356683,11714,372184,5964345,2232200,2,352465,19719,3328397,2635948
2021-08-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,241,25,266,4417,4683,37,198,251843,6703,263229,3259637,1361185,3,262078,1151,2620216,639421
2021-08-29T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,237,21,258,7782,8040,52,283,61964,1573,71577,1683093,961570,2,71475,102,1148899,534194
2021-08-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,806,108,914,26510,27424,495,1369,240121,6314,273859,5732946,2181456,10,273859,0,2972652,2760294
2021-08-29T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,419,53,472,11108,11580,94,528,251949,7005,270534,5862851,2677808,6,266243,4291,4289314,1573537
2021-08-29T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,51,7,58,1713,1771,-13,115,58384,1429,61584,1743002,424125,0,61584,0,1074843,668159
2021-08-29T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,120,120,-2,3,11419,473,12012,166375,79990,0,11234,778,106208,60167
2021-08-29T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,173,48,221,12718,12939,130,513,429279,11683,453901,10566252,2017486,4,440562,13339,6333656,4232596
