data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-13T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,548,51,599,10834,11433,376,508,34558,1558,47549,821085,426759,0,673573,147512
2021-02-13T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,64,5,69,3327,3396,50,84,10431,350,14177,228077,135908,14177,0,221942
2021-02-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,217,22,239,6478,6717,-76,237,27926,642,35285,551577,521411,6,543873,7704
2021-02-13T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1356,104,1460,66624,68084,752,1751,169230,3999,241313,2649897,1857334,2903,2589725,60172
2021-02-13T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1889,171,2060,36518,38578,-1435,1488,185756,10085,234419,3420148,1417820,234348,71,3166677
2021-02-13T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,425,60,485,9536,10021,-164,357,59229,2682,71932,1240999,447280,3737,1178991,62008
2021-02-13T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2121,256,2377,38245,40622,-771,1060,172413,5461,218496,3682326,2597972,1663,3222642,459684
2021-02-13T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,561,56,617,4213,4830,-107,300,65204,3507,73541,939440,403596,0,869593,69847
2021-02-13T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3574,365,3939,45212,49151,681,2277,484180,27760,561091,6080774,2948767,3569,5832374,248400
2021-02-13T17:00:00,ITA,11,Marche,43.61675973,13.5188753,542,75,617,7462,8079,120,405,50278,2096,60453,752690,455237,0,710302,42388
2021-02-13T17:00:00,ITA,14,Molise,41.55774754,14.65916051,66,8,74,1469,1543,11,73,7522,306,9371,148581,134356,0,148293,288
2021-02-13T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,244,37,281,8130,8411,222,611,38831,935,48177,603277,189492,8371,457707,145570
2021-02-13T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,156,26,182,2531,2713,43,249,26275,1176,30164,565928,165461,4069,532039,33889
2021-02-13T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1889,141,2030,10237,12267,-78,749,211465,9125,232857,2298777,1164303,3321,1967529,331248
2021-02-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1384,164,1548,39974,41522,-78,945,89320,3582,134424,1428130,807684,482,1392056,36074
2021-02-13T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,333,28,361,13664,14025,-41,87,25040,1059,40124,658208,505021,12,602831,55377
2021-02-13T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1043,168,1211,33759,34970,-337,543,106471,3824,145265,2095696,1056048,0,1623988,471708
2021-02-13T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,685,129,814,11085,11899,350,764,126337,4414,142650,2441931,1294292,285,2279412,162519
2021-02-13T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,448,83,531,7551,8082,204,346,31691,894,40667,725122,300464,40667,0,644288
2021-02-13T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,13,2,15,126,141,-3,9,7351,412,7904,73538,42531,0,71401,2137
2021-02-13T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,942,111,1053,23876,24929,-480,689,286542,9489,320960,4556738,1356280,2262,3883017,673721
