data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_antigenico_rapido
2021-01-20T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,443,45,488,10499,10987,-59,279,27478,1349,39814,594245,302829,15315
2021-01-20T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,77,4,81,6868,6949,8,57,5374,302,12625,202706,125769,1176
2021-01-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,303,27,330,9775,10105,10,313,19185,543,29833,488659,464842,420
2021-01-20T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1448,100,1548,69318,70866,-1014,968,135145,3471,209482,2270343,1513174,5599
2021-01-20T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2490,230,2720,49859,52579,-662,1090,143747,8935,205261,2864629,1310129,28741
2021-01-20T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,693,58,751,11580,12331,-254,672,47557,2157,62045,1059906,382543,12926
2021-01-20T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2735,288,3023,70166,73189,-2047,1281,115172,4535,192896,3043028,2203834,90924
2021-01-20T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,643,59,702,4056,4758,-53,285,58619,3169,66546,791742,351024,12219
2021-01-20T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3650,428,4078,49620,53698,237,1876,438058,26405,518161,5311238,2748344,40890
2021-01-20T17:00:00,ITA,11,Marche,43.61675973,13.5188753,573,84,657,7958,8615,-925,417,40604,1825,51044,634368,379285,7209
2021-01-20T17:00:00,ITA,14,Molise,41.55774754,14.65916051,57,9,66,1069,1135,39,54,6283,240,7658,128930,117197,187
2021-01-20T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,218,30,248,12284,12532,66,441,21205,824,34561,422197,172405,23637
2021-01-20T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,255,42,297,1789,2086,-2,278,22379,1085,25550,494383,158387,5315
2021-01-20T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2466,165,2631,11274,13905,-533,606,192116,8496,214517,1868847,1046508,62492
2021-01-20T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1350,148,1498,53603,55101,-90,1159,53822,2917,111840,1208705,722341,6772
2021-01-20T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,488,53,541,16735,17276,-146,216,18039,920,36235,537922,448796,535554
2021-01-20T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1459,215,1674,45033,46707,-820,1486,75326,3101,125134,1518559,923280,116006
2021-01-20T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,696,113,809,7473,8282,27,443,116561,4038,128881,2079166,1128285,30303
2021-01-20T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,283,46,329,4276,4605,-31,277,27580,714,32899,560860,270098,32899
2021-01-20T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,46,2,48,330,378,-20,14,6921,399,7698,67435,40647,297
2021-01-20T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,2096,315,2411,55058,57469,-5702,1359,235761,8256,301486,3751330,1292317,136074
