data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati
2021-01-31T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,383,46,429,10058,10487,370,402,30892,1467,42846,690016,356214
2021-01-31T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,66,2,68,5356,5424,-328,29,7481,326,13231,211624,129584
2021-01-31T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,276,20,296,8613,8909,14,193,23246,592,32747,518350,490510
2021-01-31T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1417,99,1516,60906,62422,766,1401,156006,3757,222185,2432221,1610642
2021-01-31T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2112,206,2318,44550,46868,509,1277,162307,9476,218651,3103697,1357767
2021-01-31T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,590,60,650,10683,11333,39,396,53807,2394,67534,1146864,416815
2021-01-31T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2388,284,2672,60529,63201,-594,943,137263,4984,205448,3342016,2380303
2021-01-31T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,612,65,677,3759,4436,41,307,61880,3352,69668,862130,377791
2021-01-31T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3503,362,3865,47212,51077,936,1438,459879,27098,538054,5665413,2837007
2021-01-31T17:00:00,ITA,11,Marche,43.61675973,13.5188753,529,72,601,8657,9258,98,362,44263,1966,55487,690203,415370
2021-01-31T17:00:00,ITA,14,Molise,41.55774754,14.65916051,58,9,67,1092,1159,44,93,6928,267,8354,137879,124927
2021-01-31T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,223,32,255,4363,4618,-10713,467,34676,873,40167,497235,180213
2021-01-31T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,178,35,213,2256,2469,4,135,23911,1147,27527,528986,161655
2021-01-31T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2122,146,2268,10044,12312,-70,538,201938,8847,223097,2072804,1099174
2021-01-31T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1397,164,1561,51183,52744,587,1069,66971,3192,122907,1312676,760108
2021-01-31T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,446,39,485,15495,15980,29,167,21575,982,38537,580215,477746
2021-01-31T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1325,204,1529,40760,42289,-579,716,90336,3478,136103,1784459,985615
2021-01-31T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,648,96,744,8431,9175,92,510,121079,4202,134456,2237018,1195439
2021-01-31T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,361,54,415,5214,5629,118,294,29641,781,36051,629140,283677
2021-01-31T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,32,3,35,198,233,-15,16,7160,404,7797,70139,41505
2021-01-31T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1430,217,1647,32298,33945,-732,499,269309,8931,312185,4153641,1323060
