data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-08-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,61,12,73,2275,2348,117,117,73445,2519,78312,1972792,778667,1,78312,0,1308387,664405
2021-08-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,38,0,38,1242,1280,15,52,26559,597,28436,428627,225092,0,28436,0,407952,20675
2021-08-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,118,12,130,3761,3891,53,213,70105,1296,75292,1054960,957834,2,75278,14,957110,97850
2021-08-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,337,22,359,9175,9534,53,470,424350,7679,441563,5967210,3410479,1,429975,11588,4936463,1030747
2021-08-22T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,387,47,434,14035,14469,273,555,379103,13321,406893,7765652,2002774,4,406540,353,5435080,2330572
2021-08-22T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,32,9,41,899,940,2,78,105152,3796,109888,2428502,744038,1,95006,14882,1975603,452899
2021-08-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,506,69,575,16783,17358,-122,454,345075,8476,370909,8388310,4564368,2,361902,9007,5221834,3166476
2021-08-22T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,78,11,89,1902,1991,4,162,102173,4378,108542,2055977,785684,0,108542,0,1519818,536159
2021-08-22T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,311,41,352,11894,12246,114,406,819036,33880,865162,13243184,5073896,1,804900,60262,10143418,3099766
2021-08-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,45,10,55,2881,2936,-42,140,103100,3045,109081,1426798,830647,1,109081,0,1260147,166651
2021-08-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,5,1,6,183,189,7,9,13455,492,14136,259077,225597,0,14136,0,246047,13030
2021-08-22T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,18,2,20,624,644,-25,38,72765,1184,74593,1832670,450987,1,61361,13232,623956,1208714
2021-08-22T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,26,0,26,480,506,6,48,45300,1365,47171,971999,274299,0,33230,13941,702856,269143
2021-08-22T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,140,12,152,3491,3643,62,177,355205,11710,370558,5845437,2199694,0,350982,19576,3297538,2547899
2021-08-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,175,22,197,4428,4625,120,261,250178,6694,261497,3169665,1344127,0,260403,1094,2588687,580978
2021-08-22T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,193,21,214,7631,7845,137,256,59959,1559,69363,1637122,941071,2,69278,85,1124238,512884
2021-08-22T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,704,84,788,22672,23460,831,1350,234873,6219,264552,5605642,2128723,6,264552,0,2918645,2686997
2021-08-22T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,349,43,392,11873,12265,0,594,247111,6975,266351,5768964,2635378,4,262176,4175,4231180,1537784
2021-08-22T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,52,6,58,1900,1958,-51,116,57484,1427,60869,1702292,420426,2,60869,0,1062297,639995
2021-08-22T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,5,0,5,142,147,-6,7,11362,473,11982,162424,78105,0,11210,772,105570,56854
2021-08-22T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,187,48,235,12428,12663,-31,420,425134,11666,449463,10316060,2001042,5,436208,13255,6255258,4060802
