data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-05T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,453,48,501,9725,10226,-17,276,32740,1498,44464,728884,376247,0,640431,88453
2021-02-05T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,84,2,86,3255,3341,-95,89,9852,331,13524,218685,131942,13524,0,214389
2021-02-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,261,26,287,8060,8347,-196,239,24907,613,33867,531634,502510,6,526681,4953
2021-02-05T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1490,103,1593,61726,63319,970,1665,161648,3879,228846,2506569,1655392,1833,2469792,36777
2021-02-05T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1990,182,2172,40964,43136,-673,1364,171260,9768,224164,3219440,1380164,224099,65,3055578
2021-02-05T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,536,65,601,10454,11055,-206,446,55837,2522,69414,1179534,427502,3032,1135872,43662
2021-02-05T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2264,272,2536,54285,56821,-1205,1141,148464,5201,210486,3470340,2465620,1276,3135506,334834
2021-02-05T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,631,62,693,3794,4487,84,332,63205,3417,71109,891881,386424,0,839364,52517
2021-02-05T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3549,359,3908,44294,48202,1306,2504,470500,27345,546047,5815964,2877075,2051,5640491,175473
2021-02-05T17:00:00,ITA,11,Marche,43.61675973,13.5188753,532,74,606,7321,7927,-185,414,47357,2027,57311,712718,429688,0,680857,31861
2021-02-05T17:00:00,ITA,14,Molise,41.55774754,14.65916051,65,10,75,1218,1293,65,101,7121,284,8698,141789,128346,0,141517,272
2021-02-05T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,255,35,290,6083,6373,482,687,35943,893,43209,534472,184552,5818,438261,96211
2021-02-05T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,142,32,174,2341,2515,73,202,24782,1158,28455,542779,163001,2765,519349,23430
2021-02-05T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2021,147,2168,10027,12195,165,936,205770,8973,226938,2158679,1124347,2451,1914042,244637
2021-02-05T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1416,168,1584,49442,51026,-404,1215,73013,3360,127399,1356327,779903,412,1329718,26609
2021-02-05T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,403,29,432,14274,14706,-45,169,23532,1010,39248,596329,488815,2,583572,12757
2021-02-05T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1244,182,1426,38128,39554,-1100,616,96956,3634,140144,1911176,1013674,0,1553275,357901
2021-02-05T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,643,105,748,9344,10092,402,703,122865,4285,137242,2310528,1229279,148,2195881,114647
2021-02-05T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,377,66,443,5955,6398,207,443,30530,823,37751,662890,289717,37751,0,612551
2021-02-05T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,25,3,28,151,179,-9,8,7248,407,7834,71446,41905,0,70097,1349
2021-02-05T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1194,172,1366,26560,27926,-778,668,278393,9190,315509,4311466,1335643,1694,3802140,509326
