data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-07T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,470,51,521,10455,10976,424,436,32919,1513,45408,750538,388039,650144,100394
2021-02-07T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,84,1,85,3207,3292,15,77,10054,340,13686,221599,133162,0,216724
2021-02-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,233,26,259,7544,7803,-339,127,25764,624,34191,537077,507606,530716,6361
2021-02-07T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1500,105,1605,63867,65472,1232,1741,162770,3891,232133,2545475,1796170,2502302,43173
2021-02-07T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1950,181,2131,41130,43261,613,1382,173828,9837,226926,3264051,1390037,226859,67
2021-02-07T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,521,63,584,10203,10787,-85,285,56764,2561,70112,1196172,433968,1145376,50796
2021-02-07T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2232,264,2496,50862,53358,-3085,920,153803,5259,212420,3520345,2500220,3155379,364966
2021-02-07T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,608,61,669,3982,4651,57,364,63644,3454,71749,902861,389514,846189,56672
2021-02-07T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3467,358,3825,45015,48840,531,1515,473192,27453,549485,5879680,2894441,5687920,191760
2021-02-07T17:00:00,ITA,11,Marche,43.61675973,13.5188753,528,74,602,7024,7626,1,394,48473,2042,58141,722696,435964,688122,34574
2021-02-07T17:00:00,ITA,14,Molise,41.55774754,14.65916051,69,11,80,1275,1355,42,91,7224,288,8867,143474,129826,143195,279
2021-02-07T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,242,35,277,5012,5289,297,470,38290,902,44481,549137,186072,443564,105573
2021-02-07T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,136,26,162,2514,2676,52,175,25067,1165,28908,548473,163600,522367,26106
2021-02-07T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2017,140,2157,10165,12322,140,624,206955,9002,228279,2186106,1132152,1924723,261383
2021-02-07T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1434,162,1596,49670,51266,191,765,74425,3399,129090,1374908,785476,1345826,29082
2021-02-07T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,382,34,416,14269,14685,37,154,23823,1019,39527,600974,492669,588029,12945
2021-02-07T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1198,178,1376,37633,39009,-257,574,98863,3682,141554,1961519,1024409,1571253,390266
2021-02-07T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,650,108,758,9682,10440,175,668,123860,4318,138618,2339959,1243732,2216022,123937
2021-02-07T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,411,73,484,6300,6784,202,382,30866,834,38484,679753,292454,0,620732
2021-02-07T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,24,3,27,135,162,-6,1,7272,409,7843,71822,42029,70385,1437
2021-02-07T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1110,153,1263,25707,26970,-247,496,280585,9281,316836,4366107,1340565,3822282,543825
