data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_antigenico_rapido
2021-01-27T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,402,40,442,9634,10076,29,344,29933,1441,41450,656886,338909,604877
2021-01-27T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,81,2,83,6867,6950,-10,74,5776,319,13045,208294,128038,1542
2021-01-27T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,274,22,296,9077,9373,-473,263,21823,578,31774,506929,479987,1799
2021-01-27T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1447,107,1554,61441,62995,-238,1178,150266,3669,216930,2367290,1570291,17174
2021-01-27T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2281,210,2491,45615,48106,-1036,923,156088,9307,213501,3013616,1338043,213453
2021-01-27T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,646,61,707,10685,11392,-98,584,51807,2325,65524,1115834,407208,28361
2021-01-27T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2508,283,2791,62112,64903,-1229,1338,131214,4827,200944,3230142,2308819,197820
2021-01-27T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,591,68,659,3586,4245,-172,268,60873,3278,68396,834479,367463,29483
2021-01-27T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3573,377,3950,45088,49038,70,2293,454392,26851,530281,5525624,2800749,99495
2021-01-27T17:00:00,ITA,11,Marche,43.61675973,13.5188753,554,72,626,8360,8986,238,466,42965,1909,53860,669151,403378,20357
2021-01-27T17:00:00,ITA,14,Molise,41.55774754,14.65916051,51,8,59,963,1022,3,63,6733,261,8016,134263,121741,198
2021-01-27T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,217,32,249,13995,14244,238,548,22809,855,37908,469487,176748,55043
2021-01-27T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,201,35,236,1832,2068,49,242,23437,1143,26648,515843,160542,12894
2021-01-27T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2280,163,2443,9958,12401,-333,821,198732,8693,219826,1995478,1078695,140041
2021-01-27T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1410,182,1592,51851,53443,-272,1233,62204,3092,118739,1276613,746197,14959
2021-01-27T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,471,43,514,16034,16548,-250,251,20137,962,37647,564745,467775,6877
2021-01-27T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1421,232,1653,45377,47030,-449,996,82239,3334,132603,1678136,962946,209469
2021-01-27T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,676,103,779,7626,8405,-21,502,119594,4130,132129,2174158,1166853,62641
2021-01-27T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,334,50,384,4745,5129,-40,415,28940,756,34825,602935,278327,34825
2021-01-27T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,43,4,47,223,270,-12,17,7092,402,7764,69112,41176,589
2021-01-27T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1700,258,1958,39387,41345,-442,2385,259235,8757,309337,4002008,1312345,298000
