data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,593,76,669,12304,12973,49,351,36841,1628,51442,933593,480727,712563,221030
2021-02-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,80,4,84,3505,3589,11,41,10929,368,14886,238294,141395,0,231171
2021-02-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,176,19,195,6147,6342,-25,118,29695,667,36704,569685,537967,560418,9267
2021-02-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1319,125,1444,69808,71252,-42,1202,178925,4141,254318,2805856,1955767,2722743,83113
2021-02-22T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2017,194,2211,34305,36516,488,1847,200972,10368,247856,3636600,1463743,109,3292245
2021-02-22T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,350,56,406,8885,9291,17,145,62042,2775,74108,1299729,464867,1219261,80468
2021-02-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1861,233,2094,33116,35210,-229,854,185715,5743,226668,3910343,2729147,3320527,589816
2021-02-22T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,515,56,571,4427,4998,108,136,67328,3584,75910,991704,423907,901295,90409
2021-02-22T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3826,391,4217,49152,53369,-1676,1491,499299,28103,580771,6382898,3039913,6057388,325510
2021-02-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,543,78,621,8288,8909,-3,117,52752,2195,63856,794480,481285,740904,53576
2021-02-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,97,13,110,1592,1702,13,83,8119,336,10157,157152,142082,156861,291
2021-02-22T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,259,33,292,6632,6924,-35,183,43856,993,51773,679919,194278,479268,200651
2021-02-22T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,175,30,205,2788,2993,-116,60,27853,1196,32042,589181,168163,543525,45656
2021-02-22T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1905,141,2046,10874,12920,100,639,217381,9287,239588,2446789,1210042,2024542,422247
2021-02-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1282,160,1442,31253,32695,-503,343,104325,3782,140802,1499147,835594,1453911,45236
2021-02-22T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,264,27,291,12871,13162,-46,77,26485,1118,40765,744236,519835,620506,123730
2021-02-22T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,843,142,985,28382,29367,187,412,116017,4018,149402,2290737,1099845,1696988,593749
2021-02-22T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,797,155,952,13835,14787,572,911,130383,4562,149732,2599096,1377334,2381623,217473
2021-02-22T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,475,81,556,7918,8474,-74,97,33622,993,43089,775431,308361,0,672449
2021-02-22T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,6,1,7,139,146,13,14,7418,414,7978,75772,43431,72972,2800
2021-02-22T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,772,103,875,21409,22284,199,509,295011,9721,327016,4808969,1378883,3969322,839647
