data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-10T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,496,52,548,10259,10807,58,314,33807,1533,46147,789446,411903,0,659398,130048
2021-02-10T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,82,5,87,3250,3337,47,94,10219,345,13901,224623,134291,13901,0,218898
2021-02-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,235,27,262,6955,7217,-9,214,26886,632,34735,544013,514040,6,536978,7035
2021-02-10T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1486,103,1589,64162,65751,418,1635,166526,3954,236231,2589633,1821077,2462,2539402,50231
2021-02-10T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1937,183,2120,39593,41713,-1171,930,178414,9951,230078,3335406,1402305,230011,67,3121407
2021-02-10T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,481,65,546,9773,10319,-227,361,57938,2619,70876,1214627,440088,3428,1158058,56569
2021-02-10T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2233,260,2493,42341,44834,-2212,1027,164867,5375,215076,3592299,2544252,1526,3186117,406182
2021-02-10T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,607,62,669,4012,4681,-49,364,64426,3483,72590,919858,395970,0,857250,62608
2021-02-10T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3564,371,3935,42676,46611,-428,1849,479645,27598,553854,5959396,2915298,2926,5744466,214930
2021-02-10T17:00:00,ITA,11,Marche,43.61675973,13.5188753,534,72,606,6906,7512,-93,421,49421,2070,59003,734693,443412,0,696956,37737
2021-02-10T17:00:00,ITA,14,Molise,41.55774754,14.65916051,66,9,75,1388,1463,109,144,7357,296,9116,145763,131844,0,145475,288
2021-02-10T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,250,34,284,7424,7708,2052,789,37623,915,46246,573697,187415,7413,449518,124179
2021-02-10T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,142,29,171,2495,2666,94,305,25603,1174,29443,555598,164440,3556,526160,29438
2021-02-10T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2003,153,2156,9893,12049,-22,669,208934,9067,230050,2234171,1147023,2932,1945318,288853
2021-02-10T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1488,167,1655,45451,47106,-1454,1063,80617,3488,131211,1398270,796957,430,1365717,32553
2021-02-10T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,365,32,397,13915,14312,-74,161,24477,1036,39825,643535,497712,8,594080,49455
2021-02-10T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1108,170,1278,36309,37587,-934,695,102127,3757,143471,2028273,1039395,0,1596232,432041
2021-02-10T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,700,115,815,10108,10923,182,671,124966,4376,140265,2383750,1264715,213,2243361,140389
2021-02-10T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,426,80,506,6891,7397,224,415,31204,863,39464,700176,296052,39464,0,630932
2021-02-10T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,15,3,18,129,147,-8,7,7319,411,7877,72509,42262,0,70920,1589
2021-02-10T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1062,136,1198,24773,25971,-359,828,283441,9395,318807,4452517,1347882,2061,3850177,602340
