data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-07-26T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,25,0,25,1155,1180,-22,6,72083,2514,75777,1813006,724215,0,75777,0,1247029,565977
2021-07-26T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,15,0,15,536,551,-12,1,26082,591,27224,407114,216205,0,27224,0,387704,19410
2021-07-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,51,5,56,2271,2327,57,88,66707,1253,70287,980415,895797,1,70273,14,905016,75399
2021-07-26T17:00:00,ITA,15,Campania,40.83956555,14.25084984,188,12,200,8038,8238,-3,115,413458,7580,429276,5596479,3328841,1,417688,11588,4758631,837848
2021-07-26T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,161,8,169,5068,5237,404,469,373377,13277,391891,7151111,1948476,0,391544,347,5183204,1967907
2021-07-26T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,8,2,10,430,440,12,20,103363,3789,107592,2279027,709731,0,93018,14574,1875011,404016
2021-07-26T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,240,34,274,7005,7279,420,550,339173,8394,354846,8244165,4538477,2,345975,8871,5173443,3070722
2021-07-26T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,38,6,44,869,913,36,63,99379,4359,104651,1884399,726434,0,104651,0,1439252,445147
2021-07-26T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,151,28,179,8504,8683,149,177,806993,33817,849493,12359115,4848715,2,792925,56568,9759666,2599449
2021-07-26T17:00:00,ITA,11,Marche,43.61675973,13.5188753,15,4,19,1672,1691,2,54,100186,3039,104916,1355391,790964,1,104916,0,1203758,151633
2021-07-26T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,122,123,0,0,13264,492,13879,249955,216611,0,13879,0,236925,13030
2021-07-26T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,10,0,10,254,264,-8,1,72206,1183,73653,1703563,431927,0,60421,13232,607617,1095946
2021-07-26T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,7,0,7,319,326,5,17,44528,1363,46217,904844,247437,0,32945,13272,691270,213574
2021-07-26T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,68,3,71,1539,1610,29,59,351346,11699,364655,5405570,2082412,0,345726,18929,3175583,2229987
2021-07-26T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,75,8,83,1788,1871,-342,56,246567,6667,255105,2838958,1278376,0,254165,940,2476372,362586
2021-07-26T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,64,10,74,3416,3490,172,209,55328,1497,60315,1477026,861809,0,60298,17,1029908,447118
2021-07-26T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,216,28,244,8123,8367,446,457,225162,6024,239553,5189192,1966299,0,239553,0,2753143,2436049
2021-07-26T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,103,16,119,4288,4407,280,361,237621,6904,248932,5416160,2475445,1,245318,3614,4012509,1403651
2021-07-26T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,11,2,13,1099,1112,0,7,55166,1424,57702,1555160,403934,0,57702,0,1009227,545933
2021-07-26T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,45,46,0,0,11224,473,11743,148528,70459,0,11050,693,102875,45653
2021-07-26T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,64,16,80,10001,10081,354,407,411110,11632,432823,9357518,1918200,3,420330,12493,5935120,3422398
