data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_antigenico_rapido
2021-01-25T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,426,44,470,9726,10196,-458,69,29341,1418,40955,643557,332337,597578
2021-01-25T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,86,6,92,6836,6928,28,71,5670,315,12913,206761,127375,1484
2021-01-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,278,22,300,9803,10103,-302,207,20604,572,31279,501278,475339,1471
2021-01-25T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1455,105,1560,61513,63073,88,754,148085,3618,214776,2339916,1555995,13436
2021-01-25T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2422,222,2644,48645,51289,-68,1164,151122,9195,211606,2965224,1331075,63796
2021-01-25T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,686,62,748,10825,11573,-183,181,50680,2266,64519,1095819,401023,21171
2021-01-25T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2560,287,2847,64814,67661,-1724,874,126184,4722,198567,3172399,2276268,162467
2021-01-25T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,622,67,689,3849,4538,-74,164,60078,3241,67857,819985,361787,23741
2021-01-25T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3412,407,3819,46158,49977,-3027,1484,450069,26712,526758,5456775,2786712,74800
2021-01-25T17:00:00,ITA,11,Marche,43.61675973,13.5188753,549,73,622,8042,8664,-161,200,42556,1883,53103,675266,397537,17300
2021-01-25T17:00:00,ITA,14,Molise,41.55774754,14.65916051,52,7,59,1004,1063,-19,40,6622,254,7939,132782,120496,193
2021-01-25T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,239,28,267,13308,13575,76,200,22381,845,36801,453200,175619,43380
2021-01-25T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,215,41,256,1812,2068,-40,32,23047,1134,26249,509231,159870,10385
2021-01-25T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2364,163,2527,10691,13218,-128,600,196455,8604,218277,1953460,1067631,113640
2021-01-25T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1380,169,1549,52833,54382,-688,401,59097,3032,116511,1253021,736815,12317
2021-01-25T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,472,48,520,16483,17003,-95,207,19303,952,37258,555999,461960,5084
2021-01-25T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1439,227,1666,46335,48001,347,885,79376,3260,130637,1625287,950469,177416
2021-01-25T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,661,109,770,7690,8460,43,422,118712,4109,131281,2143394,1154572,50024
2021-01-25T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,300,47,347,4685,5032,-80,66,28357,746,34135,586990,275060,34135
2021-01-25T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,45,3,48,259,307,4,8,7037,401,7745,68511,40983,469
2021-01-25T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1761,284,2045,42474,44519,-1187,533,253085,8602,306206,3918296,1305406,243232
