data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-02T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,414,44,458,9604,10062,-374,210,31674,1478,43214,708915,367003,0,627265
2021-02-02T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,72,2,74,3787,3861,-1093,55,9112,326,13299,213710,130241,0,211283
2021-02-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,264,24,288,8326,8614,-65,166,23895,599,33108,522934,494884,518502,4432
2021-02-02T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1480,103,1583,60276,61859,-474,919,158436,3803,224098,2451711,1621550,2424265,27446
2021-02-02T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2176,198,2374,42938,45312,-1295,879,165682,9581,220575,3142398,1365345,58,3011257
2021-02-02T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,579,61,640,10586,11226,-83,258,54251,2444,67921,1154752,418885,1118072,36680
2021-02-02T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2336,289,2625,58148,60773,-717,842,141160,5074,207007,3378181,2402138,3099363,278818
2021-02-02T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,630,64,694,3691,4385,-181,238,62299,3371,70055,869782,380164,825622,44160
2021-02-02T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3544,361,3905,42654,46559,-1916,912,466287,27213,540059,5705263,2847233,5558207,147056
2021-02-02T17:00:00,ITA,11,Marche,43.61675973,13.5188753,544,68,612,8069,8681,-491,333,45342,1986,56009,697600,420206,669557,28043
2021-02-02T17:00:00,ITA,14,Molise,41.55774754,14.65916051,58,8,66,1112,1178,-28,31,6989,272,8439,138859,125800,138651,208
2021-02-02T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,233,34,267,4741,5008,229,639,35234,880,41122,509703,182033,429532,80171
2021-02-02T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,174,34,208,2188,2396,-107,172,24206,1150,27752,532289,162184,512781,19508
2021-02-02T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2138,152,2290,9835,12125,-139,765,203356,8895,224376,2103721,1107431,1894771,208950
2021-02-02T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1432,170,1602,50100,51702,-382,879,69209,3254,124165,1325499,767709,1303111,22388
2021-02-02T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,430,34,464,14728,15192,-364,71,22545,994,38731,585718,481279,574538,11180
2021-02-02T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1327,202,1529,40084,41613,-589,984,92695,3545,137853,1839463,995922,1523628,315835
2021-02-02T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,669,109,778,8424,9202,-80,399,121800,4226,135228,2259345,1205264,2164743,94602
2021-02-02T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,369,61,430,5342,5772,129,283,29904,801,36477,638694,285288,36477,0
2021-02-02T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,25,3,28,173,201,-28,4,7198,405,7804,70530,41648,69464,1066
2021-02-02T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1423,193,1616,30428,32044,-1776,621,272226,9046,313316,4204507,1326953,3766253,438254
