data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
2021-01-17T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,443,38,481,11071,11552,266,285,26438,1325,,,39315,566681,286824
2021-01-17T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,85,4,89,6829,6918,37,49,5290,293,,,12501,200849,125030
2021-01-17T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,290,25,315,9918,10233,243,351,18305,535,,,29073,481467,458733
2021-01-17T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1460,94,1554,71557,73111,-955,1021,130668,3370,,,207149,2237801,1493903
2021-01-17T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2529,234,2763,52068,54831,-449,1437,138411,8746,,,201988,2810351,1299105
2021-01-17T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,677,63,740,11998,12738,-245,385,45936,2092,,,60766,1036684,370840
2021-01-17T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2766,296,3062,74448,77510,134,1243,107734,4399,,,189643,2962528,2165251
2021-01-17T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,657,62,719,4247,4966,112,228,57681,3116,,,65763,774653,344159
2021-01-17T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3610,452,4062,52080,56142,-1856,1603,431787,26237,,,514166,5232178,2729492
2021-01-17T17:00:00,ITA,11,Marche,43.61675973,13.5188753,590,83,673,9869,10542,-552,440,37786,1783,,,50111,618418,370474
2021-01-17T17:00:00,ITA,14,Molise,41.55774754,14.65916051,59,9,68,1076,1144,-24,70,6178,231,,,7553,127202,115685
2021-01-17T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,202,26,228,11871,12099,14,308,20611,809,,,33519,404920,171063
2021-01-17T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,285,47,332,2098,2430,44,135,21581,1062,,,25073,486687,157231
2021-01-17T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2460,164,2624,12376,15000,-114,495,189360,8400,,,212760,1818843,1034494
2021-01-17T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1403,142,1545,54575,56120,117,908,50458,2850,,,109428,1181733,711017
2021-01-17T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,507,48,555,17193,17748,73,202,17123,903,,,35774,527564,441973
2021-01-17T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1422,208,1630,44795,46425,973,1439,71315,2989,,,120729,1437613,906120
2021-01-17T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,698,118,816,7388,8204,-435,406,115676,3972,,,127852,2039503,1116053
2021-01-17T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,280,49,329,4277,4606,3,153,27004,693,,,32303,550730,267377
2021-01-17T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,41,3,44,371,415,2,18,6830,394,,,7639,66544,40383
2021-01-17T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,2293,338,2631,68009,70640,-1731,1369,219554,7978,,,298172,3643743,1283820
