data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-09T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,491,51,542,10207,10749,-205,241,33558,1526,45833,777439,405665,655028,122411
2021-02-09T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,82,3,85,3205,3290,22,106,10173,344,13807,223725,133854,0,218064
2021-02-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,243,24,267,6959,7226,-338,188,26665,630,34521,541444,511647,534467,6977
2021-02-09T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1540,112,1652,63681,65333,-375,1274,165335,3928,234596,2568721,1807945,2521388,47333
2021-02-09T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1971,182,2153,40731,42884,111,977,176359,9914,229157,3304742,1396803,66,3104741
2021-02-09T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,501,66,567,9979,10546,-196,271,57364,2605,70515,1204993,437096,1151547,53446
2021-02-09T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2257,268,2525,44521,47046,-2504,847,161679,5324,214049,3564258,2526336,3173904,390354
2021-02-09T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,616,63,679,4051,4730,-64,257,64020,3476,72226,912708,393393,852532,60176
2021-02-09T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3553,363,3916,43123,47039,665,1625,477407,27559,552005,5923079,2906344,5719228,203851
2021-02-09T17:00:00,ITA,11,Marche,43.61675973,13.5188753,542,74,616,6989,7605,-64,270,48919,2058,58582,729110,439935,692593,36517
2021-02-09T17:00:00,ITA,14,Molise,41.55774754,14.65916051,69,10,79,1275,1354,-50,21,7323,295,8972,144666,130850,144387,279
2021-02-09T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,250,30,280,5376,5656,200,721,38888,913,45457,563445,186732,446377,117068
2021-02-09T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,144,29,173,2399,2572,-25,164,25393,1173,29138,551717,164101,523969,27748
2021-02-09T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2040,148,2188,9883,12071,-220,619,208261,9049,229381,2215289,1140808,1936941,278348
2021-02-09T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1415,165,1580,46980,48560,-1725,681,78125,3463,130148,1387753,792523,1356774,30979
2021-02-09T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,371,37,408,13978,14386,-141,81,24247,1031,39664,620008,495196,591057,28951
2021-02-09T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1161,176,1337,37184,38521,-411,744,100527,3728,142776,2005913,1033929,1587121,418792
2021-02-09T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,701,113,814,9927,10741,22,453,124493,4360,139594,2363704,1255241,2230318,133386
2021-02-09T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,434,79,513,6660,7173,271,375,31025,851,39049,691112,294399,0,626233
2021-02-09T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,19,3,22,133,155,-10,14,7304,411,7870,72264,42169,70718,1546
2021-02-09T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1112,147,1259,25071,26330,-600,701,282285,9364,317979,4415169,1344750,3837128,578041
