data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-01-30T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,389,43,432,9685,10117,49,385,30865,1462,42444,675378,346911,617195,58183
2021-01-30T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,70,2,72,5680,5752,-384,70,7125,325,13202,210951,129285,0,209243
2021-01-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,272,18,290,8605,8895,-134,225,23071,588,32554,515406,487876,512796,2610
2021-01-30T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1435,92,1527,60129,61656,14,1366,155381,3747,220784,2415127,1598390,2391219,23908
2021-01-30T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2124,203,2327,44032,46359,-986,1314,161564,9454,217377,3090178,1354289,217323,54
2021-01-30T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,596,57,653,10641,11294,-77,415,53466,2378,67138,1142473,415009,1107990,34483
2021-01-30T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2407,282,2689,61106,63795,-442,1138,135765,4945,204505,3318818,2364920,3071318,247500
2021-01-30T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,588,62,650,3745,4395,90,255,61625,3341,69361,855992,375966,817538,38454
2021-01-30T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3454,377,3831,46310,50141,627,1832,459401,27074,536616,5640919,2829643,5510184,130735
2021-01-30T17:00:00,ITA,11,Marche,43.61675973,13.5188753,542,71,613,8547,9160,153,465,44010,1955,55125,685976,412859,661459,24517
2021-01-30T17:00:00,ITA,14,Molise,41.55774754,14.65916051,54,8,62,1053,1115,44,83,6879,267,8261,136872,124044,136674,198
2021-01-30T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,216,32,248,15083,15331,469,640,23500,869,39700,492413,178834,422081,70332
2021-01-30T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,173,35,208,2257,2465,94,230,23781,1146,27392,526484,161358,509549,16935
2021-01-30T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2127,150,2277,10105,12382,-155,727,201344,8833,222559,2063546,1095712,1878337,185209
2021-01-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1389,163,1552,50605,52157,-121,871,66502,3179,121838,1304490,759030,1285290,19200
2021-01-30T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,450,39,489,15462,15951,-136,229,21438,981,38370,578012,475909,568125,9887
2021-01-30T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1345,208,1553,41315,42868,-1399,846,89076,3443,135387,1751609,980665,1498199,253410
2021-01-30T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,648,95,743,8340,9083,81,603,120669,4194,133946,2223132,1188245,2141135,81997
2021-01-30T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,346,55,401,5110,5511,34,228,29474,772,35757,623158,282438,35757,0
2021-01-30T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,35,4,39,209,248,-5,1,7129,404,7781,69831,41402,68965,866
2021-01-30T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1438,222,1660,33017,34677,-2288,792,268087,8922,311686,4132597,1320747,3741618,390979
