data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-11T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,502,53,555,10319,10874,67,540,34274,1538,46686,802736,418610,0,664836,137900
2021-02-11T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,77,5,82,3210,3292,-45,102,10365,346,14003,225917,134784,14003,0,219886
2021-02-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,223,25,248,6716,6964,-253,198,27331,638,34933,546673,516656,6,539447,7226
2021-02-11T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1425,115,1540,64753,66293,542,1694,167666,3966,237925,2611091,1833291,2613,2557718,53373
2021-02-11T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1903,178,2081,38591,40672,-1041,1345,180721,10022,231415,3363109,1407697,231345,70,3137026
2021-02-11T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,457,66,523,9714,10237,-82,409,58389,2659,71285,1225100,442616,3542,1166888,58212
2021-02-11T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2160,257,2417,40727,43144,-1690,1271,167797,5406,216347,3622508,2563273,1567,3198822,423686
2021-02-11T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,604,62,666,4131,4797,116,319,64621,3491,72909,926352,398480,0,861138,65214
2021-02-11T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3550,368,3918,43092,47010,399,2434,481626,27652,556288,6001331,2927173,3057,5776324,225007
2021-02-11T17:00:00,ITA,11,Marche,43.61675973,13.5188753,529,75,604,7104,7708,196,530,49747,2078,59533,741378,447939,0,701728,39650
2021-02-11T17:00:00,ITA,14,Molise,41.55774754,14.65916051,67,6,73,1428,1501,38,75,7388,302,9191,146462,132482,0,146174,288
2021-02-11T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,251,36,287,7662,7949,241,680,38052,925,46926,584613,188128,7785,452119,132494
2021-02-11T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,152,29,181,2503,2684,18,253,25837,1175,29696,559166,164826,3726,528153,31013
2021-02-11T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1956,150,2106,10084,12190,141,1189,209960,9089,231239,2254299,1153341,228164,3075,1953789
2021-02-11T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1485,165,1650,42528,44178,-2928,1248,84760,3521,132459,1408642,800262,479,1374995,33647
2021-02-11T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,358,33,391,13800,14191,-121,125,24713,1046,39950,646950,500558,11,597495,49455
2021-02-11T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1071,165,1236,35419,36655,-932,760,103793,3783,144231,2049875,1045265,0,1606016,443859
2021-02-11T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,688,120,808,10553,11361,438,894,125415,4383,141159,2403172,1274655,250,2255667,147505
2021-02-11T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,440,80,520,7033,7553,156,363,31402,872,39827,708800,297629,39827,0,635634
2021-02-11T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,15,3,18,130,148,1,9,7327,411,7886,72818,42348,0,71138,1680
2021-02-11T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1029,135,1164,24454,25618,-353,708,284471,9426,319515,4483794,1350925,2194,3861592,622202
