data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-07-28T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,26,0,26,1273,1299,99,141,72133,2514,75946,1823590,727135,0,75946,0,1252679,570911
2021-07-28T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,12,0,12,560,572,7,15,26105,591,27268,408422,216717,0,27268,0,388870,19552
2021-07-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,59,4,63,2428,2491,67,145,66797,1254,70542,985615,899945,0,70528,14,908647,76968
2021-07-28T17:00:00,ITA,15,Campania,40.83956555,14.25084984,188,9,197,8195,8392,126,345,413880,7585,429857,5627567,3335269,0,418269,11588,4774580,852987
2021-07-28T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,169,13,182,5440,5622,326,419,373699,13281,392602,7197252,1952472,5,392253,349,5205960,1991292
2021-07-28T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,10,1,11,521,532,28,75,103433,3790,107755,2291751,712071,0,93157,14598,1883136,408615
2021-07-28T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,262,36,298,7913,8211,692,772,339554,8396,356161,8310682,4549482,1,347247,8914,5199572,3111110
2021-07-28T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,37,6,43,1002,1045,87,144,99529,4360,104934,1897662,730390,0,104934,0,1445992,451670
2021-07-28T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,194,29,223,9294,9517,476,720,807518,33819,850854,12433178,4866877,0,793873,56981,9797232,2635946
2021-07-28T17:00:00,ITA,11,Marche,43.61675973,13.5188753,17,4,21,1747,1768,114,162,100338,3039,105145,1361436,794228,0,105145,0,1208667,152769
2021-07-28T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,108,109,-12,14,13293,492,13894,250805,217453,0,13894,0,237775,13030
2021-07-28T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,11,0,11,296,307,14,25,72221,1183,73711,1710494,432392,0,60479,13232,609039,1101455
2021-07-28T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,6,0,6,356,362,7,25,44555,1363,46280,907925,248670,0,32956,13324,692098,215827
2021-07-28T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,68,3,71,1746,1817,84,150,351513,11699,365029,5434992,2090303,0,346055,18974,3187601,2247391
2021-07-28T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,75,9,84,1833,1917,93,163,246814,6669,255400,2862638,1283577,1,254444,956,2486036,376602
2021-07-28T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,69,9,78,3968,4046,329,403,55456,1498,61000,1491953,868665,1,60963,37,1037999,453954
2021-07-28T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,263,26,289,8654,8943,435,627,225637,6036,240616,5223333,1977824,1,240616,0,2764789,2458544
2021-07-28T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,105,16,121,4997,5118,523,661,237836,6910,249864,5442970,2488675,0,246225,3639,4028165,1414805
2021-07-28T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,13,2,15,1327,1342,121,143,55193,1424,57959,1566536,405615,0,57959,0,1014115,552421
2021-07-28T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,50,51,0,3,11227,473,11751,149291,70779,0,11055,696,103144,46147
2021-07-28T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,99,16,115,10585,10700,235,544,411837,11634,434171,9428966,1925655,0,421799,12372,5961016,3467950
