data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati
2021-03-08T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,665,84,749,12695,13444,-121,273,42510,1813,57767,1076297,531894
2021-03-08T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,111,13,124,3554,3678,-107,28,12559,380,16617,261772,153154
2021-03-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,221,32,253,6368,6621,-28,89,32132,706,39459,602904,568253
2021-03-08T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1425,148,1573,88334,89907,312,1644,192453,4505,286865,3102497,2141987
2021-03-08T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2960,286,3246,53772,57018,2083,2987,214771,10827,282616,4106632,1557578
2021-03-08T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,457,58,515,11522,12037,189,415,66198,2929,81164,1408009,503160
2021-03-08T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2022,253,2275,35651,37926,314,1175,201354,6064,245344,4368011,2979623
2021-03-08T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,514,63,577,5372,5949,76,215,70977,3689,80615,1083265,459713
2021-03-08T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,5200,597,5797,74332,80129,-2079,2301,527359,28790,636278,7002672,3222181
2021-03-08T17:00:00,ITA,11,Marche,43.61675973,13.5188753,625,104,729,9457,10186,-292,349,60936,2338,73460,879990,537144
2021-03-08T17:00:00,ITA,14,Molise,41.55774754,14.65916051,95,20,115,1510,1625,-51,35,9206,379,11210,168528,152677
2021-03-08T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,195,39,234,4896,5130,-226,88,49219,1063,55412,882251,199328
2021-03-08T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,199,48,247,3897,4144,-24,83,30639,1226,36009,634145,174532
2021-03-08T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2371,217,2588,20294,22882,577,1214,228042,9511,260435,2741916,1315479
2021-03-08T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1347,169,1516,33691,35207,-259,594,116722,4122,156051,1626872,894898
2021-03-08T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,190,24,214,12444,12658,-28,68,27971,1184,41813,822499,546622
2021-03-08T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,669,120,789,14610,15399,-1321,515,137250,4254,156903,2631181,1166825
2021-03-08T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1174,202,1376,20547,21923,510,1000,138712,4816,165451,2899140,1536184
2021-03-08T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,432,84,516,6439,6955,-324,42,38416,1110,46481,854802,319574
2021-03-08T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,9,2,11,190,201,24,30,7533,417,8151,80483,45355
2021-03-08T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,950,137,1087,28427,29514,446,757,303773,9980,343267,5293663,1429352
