data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_molecolare,tamponi_test_antigenico_rapido
2021-01-26T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,415,42,457,9590,10047,-149,152,29625,1435,41107,650534,336264,41107,50161
2021-01-26T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,83,2,85,6875,6960,32,58,5692,319,12971,207487,127698,12971,1516
2021-01-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,283,19,302,9544,9846,-257,232,21088,577,31511,503800,477154,31507,1491
2021-01-26T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1470,101,1571,61662,63233,160,976,148876,3643,215752,2351357,1560414,214897,15518
2021-01-26T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2293,220,2513,46629,49142,-2147,993,154178,9270,212590,2989865,1334176,212548,74338
2021-01-26T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,668,64,732,10758,11490,-83,421,51151,2299,64940,1104766,403830,63203,24012
2021-01-26T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2544,283,2827,63305,66132,-1529,1039,128709,4765,199606,3201852,2293073,198833,181990
2021-01-26T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,617,65,682,3735,4417,-121,271,60453,3258,68128,827341,364783,68128,26468
2021-01-26T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3530,392,3922,45046,48968,-1009,1230,452231,26789,527988,5480815,2791088,527298,87552
2021-01-26T17:00:00,ITA,11,Marche,43.61675973,13.5188753,545,73,618,8130,8748,84,291,42752,1894,53394,663699,400077,53394,19070
2021-01-26T17:00:00,ITA,14,Molise,41.55774754,14.65916051,51,7,58,961,1019,-44,14,6675,259,7953,133300,120908,7953,193
2021-01-26T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,225,30,255,13751,14006,431,559,22501,853,37360,461251,175974,34587,50089
2021-01-26T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,216,36,252,1767,2019,-49,157,23246,1141,26406,512273,160263,25180,11533
2021-01-26T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2307,163,2470,10264,12734,-484,728,197629,8642,219005,1974824,1073376,217720,127060
2021-01-26T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1403,180,1583,52132,53715,-667,995,60729,3062,117506,1264811,742039,117241,13760
2021-01-26T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,468,44,512,16286,16798,-205,138,19643,955,37396,560342,464673,37394,6199
2021-01-26T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1435,229,1664,45815,47479,-522,970,80832,3296,131607,1648866,956437,131607,191048
2021-01-26T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,682,103,785,7641,8426,-34,346,119083,4118,131627,2157178,1159951,131572,56059
2021-01-26T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,334,50,384,4785,5169,137,275,28490,751,34410,594911,276525,6,34410
2021-01-26T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,44,4,48,234,282,-25,2,7064,401,7747,68828,41086,7747,546
2021-01-26T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1742,265,2007,39780,41787,-2732,746,256470,8695,306952,3959153,1308166,306952,271907
