data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-12T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,507,53,560,10497,11057,183,357,34441,1545,47043,811199,422386,0,668819,142380
2021-02-12T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,69,4,73,3273,3346,54,90,10397,350,14093,226920,135300,14093,0,220849
2021-02-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,224,23,247,6546,6793,-171,115,27615,640,35048,549118,518967,6,541664,7454
2021-02-12T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1399,106,1505,65827,67332,1039,1637,168249,3981,239562,2629484,1844532,2752,2572986,56498
2021-02-12T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1886,175,2061,37952,40013,-659,1538,182876,10049,232938,3391095,1412826,232867,71,3152086
2021-02-12T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,440,64,504,9681,10185,-52,290,58719,2671,71575,1231738,444712,3646,1171737,60001
2021-02-12T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2140,256,2396,38997,41393,-1751,1089,170603,5440,217436,3652138,2580736,1644,3210250,441888
2021-02-12T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,597,57,654,4283,4937,140,332,64805,3499,73241,933085,401117,0,865482,67603
2021-02-12T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3583,359,3942,44528,48470,1460,2526,482645,27699,558814,6039796,2938732,3271,5805725,234071
2021-02-12T17:00:00,ITA,11,Marche,43.61675973,13.5188753,532,75,607,7352,7959,251,515,50004,2085,60048,746607,451353,0,705732,40875
2021-02-12T17:00:00,ITA,14,Molise,41.55774754,14.65916051,64,8,72,1460,1532,31,107,7463,303,9298,147578,133476,0,147290,288
2021-02-12T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,247,37,284,7905,8189,240,640,38447,930,47566,593384,188866,8049,455222,138162
2021-02-12T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,152,28,180,2490,2670,-14,219,26069,1176,29915,562487,165089,3886,530200,32287
2021-02-12T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1924,144,2068,10277,12345,155,869,210654,9109,232108,2274943,1158696,3192,1960968,313975
2021-02-12T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1427,169,1596,40004,41600,-2578,1020,88325,3554,133479,1418783,804169,482,1383949,34834
2021-02-12T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,350,33,383,13683,14066,-125,87,24917,1054,40037,655411,502681,12,600034,55377
2021-02-12T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1055,169,1224,34083,35307,-1348,491,105611,3804,144722,2072966,1050954,0,1615498,457468
2021-02-12T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,685,126,811,10738,11549,188,727,125937,4400,141886,2422330,1284213,267,2267211,155119
2021-02-12T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,439,84,523,7355,7878,325,494,31559,884,40321,716693,299125,40321,0,639681
2021-02-12T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,14,2,16,128,144,-4,9,7339,412,7895,73275,42436,0,71250,2025
2021-02-12T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1002,123,1125,24284,25409,-209,756,285402,9460,320271,4523375,1353634,2262,3872924,650451
