data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-04-23T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,459,45,504,8732,9236,-184,158,58607,2360,70203,1378879,610080,1,70203,0,984829,394050
2021-04-23T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,161,11,172,5926,6098,126,189,16357,513,22968,326320,183107,0,22968,0,312498,13822
2021-04-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,461,43,504,14069,14573,338,610,41530,975,57078,745978,695108,3,57065,13,719811,26167
2021-04-23T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1513,146,1659,90367,92026,8,1970,281092,6144,379262,4147912,2733075,18,367674,11588,3780238,367674
2021-04-23T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1948,276,2224,52325,54549,-1972,1104,295521,12731,362801,5405347,1751453,12,362523,278,4304891,1100456
2021-04-23T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,319,40,359,8272,8631,-125,124,91773,3645,104049,1796384,629782,3,89962,14087,1556524,239860
2021-04-23T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2504,332,2836,43966,46802,-1061,1221,261777,7468,316047,5887505,3808405,14,309039,7008,4192839,1694666
2021-04-23T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,543,70,613,5653,6266,57,370,87265,4119,97650,1394663,571887,5,97650,0,1155234,239429
2021-04-23T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4185,644,4829,51620,56449,-1298,2304,702119,32569,791137,9171176,3730373,22,747095,44042,7956066,1215110
2021-04-23T17:00:00,ITA,11,Marche,43.61675973,13.5188753,505,70,575,6311,6886,-309,326,86052,2896,95834,1101974,661056,0,95834,0,987757,114217
2021-04-23T17:00:00,ITA,14,Molise,41.55774754,14.65916051,39,13,52,568,620,2,19,11941,467,13028,210020,178367,0,13028,0,197557,12463
2021-04-23T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,60,9,69,603,672,59,65,68900,1158,70730,1315977,387345,2,57591,13139,549855,766122
2021-04-23T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,91,26,117,1122,1239,11,96,40896,1333,43468,751090,189808,2,31690,11778,629800,121290
2021-04-23T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2447,275,2722,15723,18445,-687,1099,309503,11104,339052,3813977,1650943,12,322275,16777,2616187,1197790
2021-04-23T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1778,253,2031,47166,49197,-225,1692,171894,5632,226723,2142721,1095502,19,225751,972,2001797,140924
2021-04-23T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,368,52,420,17372,17792,-83,267,33776,1343,52911,1160959,673707,3,52894,17,804574,356385
2021-04-23T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1232,177,1409,23875,25284,-344,930,170871,5265,201420,3712535,1447005,11,201420,0,2220086,1492449
2021-04-23T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1501,256,1757,21750,23507,-482,1003,191474,5992,220973,3958141,1953370,12,218251,2722,3232282,725859
2021-04-23T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,187,36,223,2900,3123,-14,134,49246,1336,53705,1118932,353076,3,53705,0,842704,276228
2021-04-23T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,46,12,58,783,841,-22,45,9311,446,10598,109951,56536,1,10141,457,88150,21801
2021-04-23T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1093,193,1286,22021,23307,-448,1035,371556,11203,406066,6915314,1644314,10,395367,10699,4903637,2011677
