data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-01T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,401,47,448,9988,10436,-51,161,31101,1470,43007,700984,363861,623041,77943
2021-02-01T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,71,2,73,4881,4954,-470,13,7964,326,13244,211889,129725,0,210160
2021-02-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,276,21,297,8382,8679,-230,195,23667,596,32942,520326,492399,516157,4169
2021-02-01T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1437,97,1534,60799,62333,-89,994,157081,3765,223179,2440638,1614098,2413779,26859
2021-02-01T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2181,207,2388,44219,46607,-261,1051,163585,9510,219702,3113966,1360212,2993949,120017
2021-02-01T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,593,61,654,10655,11309,-24,129,53936,2418,67663,1148761,417547,1112860,35901
2021-02-01T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2373,288,2661,58829,61490,-1711,717,139653,5022,206165,3355115,2387784,3089069,266046
2021-02-01T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,631,65,696,3870,4566,130,149,61892,3359,69817,864254,378515,821828,42426
2021-02-01T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3489,371,3860,44615,48475,-2602,1093,463522,27150,539147,5682564,2842721,5545650,136914
2021-02-01T17:00:00,ITA,11,Marche,43.61675973,13.5188753,535,72,607,8565,9172,-86,189,44526,1978,55676,691642,416358,665623,26019
2021-02-01T17:00:00,ITA,14,Molise,41.55774754,14.65916051,61,9,70,1136,1206,47,54,6934,268,8408,138414,125442,138216,198
2021-02-01T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,233,34,267,4512,4779,161,316,34829,875,40483,500552,181357,427540,73012
2021-02-01T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,180,35,215,2288,2503,34,53,23930,1147,27580,529694,161795,511445,18249
2021-02-01T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2151,153,2304,9960,12264,-48,514,202489,8858,223611,2083854,1101742,1886965,196889
2021-02-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1411,171,1582,50502,52084,-660,379,67974,3228,123286,1316798,762384,1295997,20801
2021-02-01T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,439,39,478,15078,15556,-424,123,22118,986,38660,582290,478843,2,571630
2021-02-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1336,204,1540,40662,42202,-87,766,91159,3508,136869,1817208,989907,1513602,303606
2021-02-01T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,656,101,757,8525,9282,107,373,121330,4217,134829,2244425,1199293,2156970,87455
2021-02-01T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,363,58,421,5222,5643,14,143,29762,789,36194,630341,283870,36194,0
2021-02-01T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,33,3,36,193,229,-4,3,7166,405,7800,70227,41528,69280,947
2021-02-01T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1410,214,1624,32196,33820,-125,510,269905,8970,312695,4165203,1324579,3756472,408731
